seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,transaction_cost_total,transaction_cost_mean,rollover_count,fail_count,settlement_event_count,dead
0,baseline_world,random,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
1,baseline_world,random,-0.005,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
2,baseline_world,random,-0.007303525994590749,11,0.08333333333333333,0.015,3.75e-05,11,1,12,True
3,baseline_world,random,-0.0009604141327650573,7,0.0,0.0,0.0,7,0,7,True
4,baseline_world,random,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
5,baseline_world,random,-0.014054626622543052,3,0.0,0.005,1.25e-05,3,0,3,True
6,baseline_world,random,-0.014584123035826273,4,0.2,0.02,5e-05,4,1,5,True
7,baseline_world,random,-0.015370016761311299,3,0.25,0.015,3.75e-05,3,1,4,True
8,baseline_world,random,-0.028403210134023367,7,0.0,0.0,0.0,7,0,7,True
9,baseline_world,random,-0.005,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
10,baseline_world,random,-0.02329794529159042,3,0.25,0.015,3.75e-05,3,1,4,True
11,baseline_world,random,-0.025806486967349447,4,0.0,0.0,0.0,4,0,4,True
12,baseline_world,random,-0.000972348951381818,6,0.0,0.0,0.0,6,0,6,True
13,baseline_world,random,-0.012875643237172177,7,0.0,0.005,1.25e-05,7,0,7,True
14,baseline_world,random,-0.008039946557720907,3,0.25,0.015,3.75e-05,3,1,4,True
15,baseline_world,random,-0.009236810775637656,4,0.2,0.02,5e-05,4,1,5,True
16,baseline_world,random,-0.008532595254434654,9,0.0,0.035,8.750000000000001e-05,9,0,9,True
17,baseline_world,random,-0.02152297366325339,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
18,baseline_world,random,-0.013305889351349414,8,0.0,0.0,0.0,8,0,8,True
19,baseline_world,random,-0.01876351378598692,5,0.0,0.0,0.0,5,0,5,True
20,baseline_world,random,-0.01964269742887207,5,0.0,0.0,0.0,5,0,5,True
21,baseline_world,random,-0.012093647088841633,8,0.1111111111111111,0.04,0.0001,8,1,9,True
22,baseline_world,random,-0.006041417256430216,3,0.0,0.0,0.0,3,0,3,True
23,baseline_world,random,-0.008586749055188239,3,0.25,0.015,3.75e-05,3,1,4,True
24,baseline_world,random,-0.004532845868691494,5,0.0,0.02,5e-05,5,0,5,True
25,baseline_world,random,-0.03054528539957942,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
26,baseline_world,random,-0.032246720079806085,3,0.0,0.0,0.0,3,0,3,True
27,baseline_world,random,-0.037226085052263554,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
28,baseline_world,random,-0.012538568966039833,7,0.0,0.015,3.75e-05,7,0,7,True
29,baseline_world,random,-0.009756668176737149,2,0.0,0.0,0.0,2,0,2,True
30,baseline_world,random,-0.002857888090606278,4,0.0,0.0,0.0,4,0,4,True
31,baseline_world,random,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
32,baseline_world,random,-0.0007637515451021475,2,0.0,0.0,0.0,2,0,2,True
33,baseline_world,random,-0.02,12,0.07692307692307693,0.02,5e-05,12,1,13,True
34,baseline_world,random,-0.0018831938008410294,7,0.0,0.02,5e-05,7,0,7,True
